,title,link,content
0,1-2-Switch,/wiki/1-2-Switch," 1-2-Switch is a party game in which players do not usually rely on what is happening on-screen, but rather make use of audio cues and the functionality of the Switch's Joy-Con controllers to play in several different games. It features 28 different minigames, most of which involve two players, who each use one of the Joy-Con controllers and are often encouraged to look at each other during gameplay. Aside from tutorial videos for each game, players mostly rely solely on audio cues and feedback from the Joy-Con's rumble feature to indicate how well they are performing.  "
1,10 Second Ninja X,/wiki/10_Second_Ninja_X," 10 Second Ninja X is a sidescrolling puzzle platformer. The game follows a ninja who must destroy robots at high pace within a set time frame of 10 seconds.[1] Every level is set with a timer, with the player having to finish the level within 10 seconds. The player has several attacks, including a projectile, that has limited capacity. Each level finishes when the player has destroyed all targets onscreen. The game features different star ratings for completed levels, with higher stars given for completing the missions in faster times.[8]  "
2,13 Sentinels Aegis Rim,/wiki/13_Sentinels_Aegis_Rim," 13 Sentinels: Aegis Rim is a video game where players take control of thirteen different characters, who interact with each other to build a larger narrative.[2] The gameplay is split into three sections: Remembrance, with exploration and dialogue taking priority and advancing the narrative; Destruction, where characters equip mecha and engage in pausable real-time battles against enemies; and Analysis, a glossary which documents event scenes and important items and characters.[3][4]  During the Remembrance segments, the player explores two-dimensional (2D) side-scrolling environments, interacting with elements of those environments in a non-linear manner. Several elements move in real-time regardless of the player's actions, and choices can be made which alter the outcome of some scenes. Keywords spoken by characters and obtained items are added to a Thought Cloud database, which can be accessed to trigger both internal monologues and initiate new dialogue.[1][2][5] Once learned, keywords are carried over into other earlier or parallel scenes, which in turn unlock further story routes and options.[6] These sections employ a visual novel narrative structure.[7] The character stories are tracked with a flowchart, with players able to jump between scenes to try different keywords from the Thought Cloud. If a wrong choice is made during one section, the game rewinds back to the beginning of the day so players can select the right choice. To reach that point faster, events the player has already seen can be fast forwarded.[8]  The battle system of the Destruction mode takes the form of a real-time strategy scenario, with up to six chosen characters using Sentinels to fight off waves of enemies called Kaiju defending a terminal.[1][9] The terminal's health is determined by which units are in place, and if all units are defeated, the hub is overwhelmed and the game ends. can be paused, allowing for Sentinels to be moved and actions such as combat and support abilities to be carried out. The section is completed when the hub is successfully defended against all waves.[10][11] Battles pit Sentinels against Kaiju with differing strengths and abilities such as flight or extra defense, requiring one of the four Sentinel types; some Sentinels are strong against flying enemies, while others do better against large ground-based forces. They also have different attack ranges and movement speeds.[1][8] Sentinels have at least one basic attack that costs nothing, and additional abilities that cost a resource called EP; EP can be recovered by defending. After acting, each Sentinel has a cooldown timer before it can act again. Damage can be repaired by Sentinel pilots, but this requires leaving the Sentinel and leaving them vulnerable to attack.[1] The player can also trigger limited-use ""Terminal Commands"", special field-wide abilities such as an EMP which use up a dedicated energy gauge.[8] Characters level up with experience points and gain passive bonus effects, while Sentinel abilities and attributes can be raised using Meta-chips gained during battles.[6][10]  Analysis takes the form of an index where event scenes and information on people, items and concepts are archived. Mystery Points, earned through Destruction mode, are used to unlock new index entries in Analysis.[6] As the player advances, character narratives are locked off until something else has taken place in another section of the game. These unlock conditions can include unlocking entries in Analysis, advancing stories in Remembrance, or tackling particular battles in Destruction.[6][10][12]  "
3,140,/wiki/140_(video_game)," As described by Carlsen, 140 is ""an old school platformer"", but where the challenge is ""in syncing up your moves and jumps to the music-controlled elements""; as the player progresses through a level, the music will change to reflect the difficulty of the platforming elements.[3] The player controls a geometric shape—a square when stationary, a circle when moving, and a triangle when jumping—across a two-dimensional environment made up of other simple geometric shapes, with the objective being to reach the end of the course. Along the way the player will need to collect floating colored balls that, when placed in a semicircular fixture on the ground, activate a new type of platforming obstacle that allows the player to continue. These activations have the effects of changing the color palette of the level and adding a new element to the music to which the new obstacle is synchronized.  Various obstacles and enemies, represented by geometric shapes, test the player's skills, and should the shape fall or be hit by one of the shapes filled with white noise, they will need to restart at the last checkpoint they passed. All of these obstacles and enemies have actions that are synchronized to the music, aiding the player in moving through the course; platforms that move or appear and disappear will do so on the beat, while enemies will fire in time to the music.[5]  "
5,198X,/wiki/198X," In an introductory sequence entitled Beating Heart that plays like a side-scrolling beat 'em up, the teenage protagonist fights their way from the subway station and through the streets of the unnamed city in which they live until they reach a hospital where they are attacked by a hooded figure with glowing red eyes.  Set in the 1980s, the game follows the Kid, the teenager from the introduction, who feels stuck in their childhood home in ""sleepy suburbia"" as they wait for their life to ""move forward"". One night, as the Kid wanders the streets of their unnamed city looking for anything to ""make my heart skip a beat again"", they stumble across an abandoned factory that was built ""long before"" the protagonist was born and now houses an arcade. Wondering if they found a place where they can fit in, they start playing a horizontally scrolling space shooter entitled ""Out of the Void"". Feeling disconnected at school, the Kid's mind frequently returns to the arcade where they were ""on an asteroid somewhere fighting space invaders."" The only person they notice in school is ""her"", a ""punk rocker from the south district"" whose freedom the Kid admires. The story then cuts to the Kid playing an arcade racing game entitled ""The Runaway"". During ""The Runaway""'s second stage, the Kid explains that they've started to spend every night at the arcade, where every game they mastered made them ""stronger"" and ""more confident"". One evening, the Kid reminisces about their childhood and how ""anything was possible"" back then before ""everyone got brainwashed"" in high school. They then mention how as a kid, ""shadows seem darker and more terrifying"" yet ""more exciting"" at the same time. The game then transitions to a ninja video game called ""Shadowplay"". That night, while walking to the arcade, the Kid reveals that their parents split up due to an incident involving the Kid's father.   They also mention that night was when ""everything changed"" at the arcade before 198X transitions into a role-playing video game entitled ""Kill Screen"" where the player has to defeat 3 dragons in order to solve a maze before fighting the unwinnable SHODAN-like final boss. Afterwards the Kid is seen sitting outside the arcade in the rain mentioning everything ""was still there"" but that ""nothing was the same"". Characters from 198X's various games begin to materialize around the Kid, with them concluding that the ""game was not over"".  "
7,20XX,/wiki/20XX_(video_game)," Inspired by Mega Man X, players must defeat enemies and complete difficult platforming challenges to finish a stage. The twist is that these stages are generated randomly based on level segments, or ""chunks"", and allow for both local and online co-op.[1] Rather than giving several lives, the game has permadeath, but is a ""roguelite"" in that the player can use Soul Chips earned during the level to unlock new types of passive upgrades to buy, and gain upgrades for the next attempt of that particular run.[4]  During levels players can use bolts gained as currency to buy passive upgrades, or to gain back health or energy in vending machines. They can find upgrades in treasure chests and other places.[4] Upon beating a boss the player can choose to take their power as a reward, granting them a new special ability, or take a reward of bolts or a random passive upgrade instead.[4]   The game follows Nina, an armored girl armed with a power blaster, and Ace, an armored boy who has an energy sword, in the aftermath of a robotic uprising.[1]  Traveling from their base on the Ark, a space station orbiting the Earth, they have been hired to clear dangerous locations that are infested with robots that have run amok.  "
8,The 25th Ward The Silver Case,/wiki/The_25th_Ward_The_Silver_Case," The 25th Ward: The Silver Case is an adventure game in which players take on the role of different characters while navigating three scenarios.[1] In the original mobile game, players read through story segments before issuing commands that advance the story. The original version released for mobiles used number inputs.[2][3]  "
9,60 Seconds!,/wiki/60_Seconds!," 60 Seconds! takes place in the United States during the 1960s. The game follows the McDoodle family (Ted, Dolores, Mary Jane, and Timmy) as they try to survive the effects of a nuclear apocalypse for as long as possible.  First, the player has the titular 60 seconds to acquire whatever supplies, family members, and diversional items (e.g. a checkers set), and bring them to an underground shelter beneath their house, including the family member they initially control, before a nuclear bomb is dropped on the neighborhood and detonates. Failure to do so affects the flow of the gameplay.  Each day, the player must make decisions for the family based on supplies available, limited information, or ability of family members. Some of these entail risks, and may result in poor health or even death of one or all of the family members.  For consumable supplies, the player must ration their usage, such as food and water among the family members, based on how much they initially acquired, their overall health, and their need for it. The player must also be cautious about the mental state of the family members, as the isolation of the shelter affects the gameplay as well. (e.g. Ted will turn one of his socks into a puppet and begin talking to it as if it was a person.)  At times, a character may be required to leave the shelter to scavenge for supplies and food. Again, this entails risk, as a family member may fall ill from the radiation outside, or may not come back because of an event resulting in the character's death.  Other times, a knock may be heard at the hatch of the underground shelter, and the player must make a decision on whether to ignore it, or open the hatch to allow whoever or whatever is there to interact with the characters. Depending on the event, this may result in a possible trade between the McDoodles and other affected families, or a shelter raid where supplies are stolen, or a mutant entering the shelter and mutating the family, ending the game.  If the player makes a decision at the right time, then there is the possibility of the U.S. Army coming to rescue the family, successfully ending the game.  "
10,6180 the moon,/wiki/6180_the_moon," The player controls the Moon, shown as a simple white circle. The Moon only has the ability to jump and move left and right, however, the tops and the bottom of the level boundaries loop, giving the player more options to tackle the platforming challenges the game presents. The goal of each level is to get from the starting point to the exit block. Every level is grouped into a certain ""world"" each of which is based on a planet (it also includes the Sun), with each world having a different thematic mechanic.   The Moon prepares to set and allow the Sun to rise, however, the Moon notices the Sun is missing. The Moon then begins a journey to find the Sun, and tell him to come back to Earth. On the way, the Moon talks to each of the planets, who give their opinions or advice on the situation. At the end, the Sun tells the Moon that he never left, and the Moon begins the journey back.  "
11,7 Billion Humans,/wiki/7_Billion_Humans," Similar to Human Resource Machine, players are tasked with over 60 programming puzzles, typically involving the movement of numerical data cubes by human workers. For example, a task might ask the player to program the humans to sort the numbers on data cubes in order. The programming language is similar to assembly language, allowing for simple loops, logic, memory storage and calculations. As with its predecessor, the code can be edited in a textual form by copying-and-pasting.  The same program is used to control all humans simultaneously, while allowing each human to follow its individual logic through the project based on their current state, such as moving left or right based on comparing the value of the data cube they are holding. The humans will run through the program until either the program solution is met, or all the humans reach the end of the program and the problem solution is not met, in which case the player must rework the program. The player is able to step through the program and select any individual human to watch their progress through the program for debugging purposes.  Once a player achieves a working solution for a given problem, the game will then simulate 25 additional cases where random factors (such as values of data cubes) change, which might cause a program to fail and require the player to account for that. Otherwise, the player is then ranked on the number of program steps they have, and the number of seconds (cycles) it takes for the program to complete, measured against average marks determined by Tomorrow Corporation. Most levels provide two optional challenges, to beat the average steps and average seconds with optimization of their program; these are sometimes diametric goals and do not need to be completed within the same program. Other puzzles are fully optional, requiring more advanced techniques to solve.[4][5][1][6]  "
